time_step,capas,units,activation,lr,opt,batch,MAE,RMSE,MAPE,R2
7,2,64,relu,0.0005,rmsprop,128,0.08665548123838936,0.09015161958140107,27.31174449271337,-0.530245616623868
7,2,64,relu,0.01,rmsprop,128,0.09519412846573194,0.10538654701873736,27.42949463944879,-1.0911463482744819
7,2,32,selu,0.001,adam,128,0.08422080215000415,0.09174973278440875,27.51021095545836,-0.5849796616337641
7,2,32,relu,0.0005,adam,64,0.08880026082725455,0.09308232725800487,27.737426499717294,-0.6313552453975668
7,1,32,elu,0.0005,rmsprop,32,0.08167179293054427,0.08599144603304122,27.762700062621732,-0.3922735795316583
7,1,32,selu,0.0005,rmsprop,128,0.08140848176730542,0.08861331595555212,27.830457929065965,-0.4784684265295365
7,1,64,elu,0.001,rmsprop,64,0.08030933642450003,0.08838032491981133,28.221705163278628,-0.47070397196938685
7,2,32,relu,0.001,rmsprop,128,0.09482497285285929,0.10234462335329127,28.22340185060719,-0.9721690624976178
7,1,32,selu,0.001,adam,128,0.08849054213547014,0.09053546482007532,28.42732292113362,-0.5433042384665361
7,2,64,relu,0.01,adam,32,0.10274024490031118,0.12025669734430783,28.543347625439498,-1.7229058348216841
7,2,32,elu,0.01,adam,128,0.09232814429990449,0.09772247234974363,28.636634766413987,-0.798054989528747
7,1,64,elu,0.01,rmsprop,32,0.09522082100839545,0.10127528225616574,28.793336585867046,-0.9311722050853628
7,1,32,selu,0.001,rmsprop,64,0.08353081690809418,0.08789940012900267,28.847684016514226,-0.4547417404059373
7,2,32,relu,0.01,adam,32,0.10366806978860454,0.12117340892798582,28.882992571268957,-1.7645772473914696
7,2,32,selu,0.01,rmsprop,128,0.0848393418357925,0.09207744542686154,29.495359011738852,-0.5963223759592782
7,2,32,elu,0.001,rmsprop,32,0.09721063869250683,0.10245838854424619,29.83317129043454,-0.9765559835307811
7,2,64,selu,0.001,adam,128,0.09114905869279046,0.09748740260712559,29.835553997774173,-0.7894150124032315
7,2,64,selu,0.0005,rmsprop,128,0.0827002469751351,0.10380012311139304,29.907576760451214,-1.0286625631168635
7,2,64,selu,0.0005,adam,64,0.09145942124431373,0.09752948536617512,29.933835846732855,-0.7909602330588521
7,1,32,selu,0.001,rmsprop,32,0.09340712183291323,0.09876208507938015,30.008177343886462,-0.8365154154303291
7,1,64,selu,0.0005,adam,32,0.1013820420279952,0.11295769186753857,30.175634318042356,-1.402402088862904
7,1,32,relu,0.001,rmsprop,128,0.10549182995744816,0.1190466074120065,30.288708728417426,-1.6683827497417267
7,2,32,selu,0.001,adam,64,0.09956014501107602,0.10570081028936938,30.590392943356452,-1.1036365636279695
7,2,32,elu,0.01,rmsprop,64,0.08672805572429257,0.09646071789529558,30.82240050807874,-0.751923173003602
7,2,64,relu,0.001,rmsprop,128,0.10503664147690414,0.11606018118203948,30.91810114888924,-1.5361828766230343
7,1,32,selu,0.001,adam,32,0.10241151537679934,0.10893278023678676,30.931557253517244,-1.2342473614220926
7,2,64,elu,0.0005,adam,128,0.08921684637113585,0.09911744084572863,30.998965583854734,-0.8497551203527862
7,2,64,elu,0.001,rmsprop,128,0.08777777929764553,0.09738264830095052,31.00602596178655,-0.7855714754496863
7,2,32,elu,0.0005,adam,32,0.09023679159353434,0.10724919172725693,31.2885883942146,-1.1657191329946057
7,2,32,selu,0.01,adam,64,0.10184071408761411,0.11084373429292187,31.590178000564023,-1.313323527504401
7,1,64,elu,0.01,adam,128,0.09767520027411847,0.1022257140663599,31.676410519532578,-0.9675889882979136
7,1,32,elu,0.001,adam,32,0.10240483803689306,0.10616825891814206,31.922760357972074,-1.122283845101804
7,1,64,selu,0.0005,adam,64,0.10179197517521829,0.10910707695021774,31.950397470907788,-1.2414028478870796
7,2,32,relu,0.01,rmsprop,32,0.10986424219444868,0.12043222652330346,32.38474895580109,-1.730860456039414
7,1,32,selu,0.01,adam,64,0.10779834326290393,0.1148896151855657,32.74188131533765,-1.485281730007996
7,1,32,relu,0.001,adam,32,0.11289204185519357,0.12457016459779073,32.85942609883426,-1.921743955170717
7,2,32,elu,0.01,adam,64,0.11329708865251058,0.12622911407848822,32.902395307398756,-2.000082143106428
7,1,64,elu,0.001,adam,128,0.09808525237148048,0.10381296646694797,33.30108691588468,-1.0291646135137462
7,1,64,elu,0.0005,rmsprop,128,0.09672312388049346,0.10242734866363819,33.35584812067921,-0.9753585653539312
7,1,32,selu,0.0005,adam,32,0.10896294565400177,0.11450221652017674,33.412342495630504,-1.4685496417353727
7,1,64,selu,0.0005,adam,128,0.09570888191557275,0.1019390778694264,33.57513959432873,-0.9565703998776078
7,2,32,selu,0.0005,adam,64,0.10625500226893977,0.10901788877397373,33.579650676500314,-1.2377399337615347
7,1,32,relu,0.0005,adam,128,0.10060403957410825,0.10570542440467673,34.00893238759321,-1.1038202260520893
7,2,64,elu,0.001,adam,64,0.10513415195467506,0.11085186963941353,34.17750671233294,-1.3136631114997734
7,1,64,selu,0.01,adam,64,0.11972400350880676,0.1340064777784745,34.2551964385431,-2.381159531421574
7,1,64,relu,0.001,rmsprop,128,0.11163494335664181,0.1172361384683941,34.280617026123764,-1.5878380130216208
7,1,32,elu,0.001,rmsprop,32,0.10633711997677277,0.10819809701545101,34.6746113871371,-1.204211797785589
7,2,64,elu,0.0005,rmsprop,64,0.10158478450611708,0.10615499457646466,34.71502827666745,-1.1217535747589893
7,2,64,elu,0.01,adam,64,0.11859632245968045,0.12989210896190445,34.90991726859129,-2.1767249498031846
7,1,32,selu,0.001,rmsprop,128,0.10974629911487344,0.11282050046983981,34.965154593170936,-1.3965700158831096
7,1,32,relu,0.0005,rmsprop,32,0.11510422412563753,0.12308714895094164,35.0400598847631,-1.852590964254833
7,1,64,relu,0.0005,adam,64,0.11628283801381831,0.12497634028777885,35.0926242823263,-1.9408283984767332
7,2,64,relu,0.0005,rmsprop,32,0.11936834870568912,0.129138120600411,35.23275258305639,-2.1399519406178316
7,2,32,relu,0.001,adam,32,0.1250232117470693,0.14271115013507213,35.339044171475614,-2.8346867251486834
7,1,32,elu,0.0005,adam,64,0.10689982734392345,0.11152377520630492,35.65548552769776,-1.3417956898717787
7,2,32,relu,0.001,adam,128,0.12505065707009927,0.1384028907229802,36.20592778845633,-2.6066533260150644
7,1,32,relu,0.0005,rmsprop,128,0.11455385738188632,0.11734869287103124,36.24084646270352,-1.5928093876487859
7,2,32,elu,0.001,adam,64,0.11410937582764763,0.12042731281198744,36.33643101949055,-1.7306376189040766
7,1,32,elu,0.001,adam,64,0.11129863146950196,0.11526942025088403,36.521010986333906,-1.5017407077867042
7,2,32,elu,0.0005,rmsprop,128,0.1108752170473838,0.11205836518141206,36.694829937820906,-1.3643003261076592
7,1,64,selu,0.0005,rmsprop,32,0.11470704028235655,0.12038693317572954,36.85417121989503,-1.7288067440698685
7,2,32,relu,0.0005,rmsprop,32,0.12485097952606714,0.13563875367552836,36.89068462902635,-2.4640301135717775
7,1,64,elu,0.0005,adam,64,0.11424987680333938,0.1187494003118649,36.99781217540513,-1.6550758214353865
7,2,64,elu,0.001,rmsprop,32,0.10911248457268355,0.1162448190977138,37.055181327257905,-1.544258824818292
7,2,64,selu,0.01,adam,128,0.1140581563902143,0.12194346581626764,37.14239823351636,-1.7998266687307147
7,1,32,elu,0.001,rmsprop,64,0.11053166339026671,0.11579748659099434,37.156079123711535,-1.524714903372169
7,2,64,relu,0.01,adam,64,0.12947034707631583,0.1437453477589885,37.18719024148009,-2.890466440199415
7,2,64,selu,0.0005,adam,128,0.11371185534769901,0.12587830558776344,37.49744739868907,-1.9834300127800932
7,1,64,selu,0.01,adam,128,0.12452262706178514,0.13231800396093937,37.54241463405768,-2.296491492889259
7,1,64,selu,0.001,adam,128,0.11443307271565906,0.12066202471121375,37.6990026701592,-1.7412919745319568
7,1,64,selu,0.01,rmsprop,128,0.10902043763805817,0.11402846694963956,37.80124877762392,-1.4481647961808788
7,2,32,relu,0.01,adam,64,0.12838100183364964,0.13911093621420115,37.807150675506676,-2.6436497600285103
7,1,64,elu,0.0005,rmsprop,32,0.11282269424814072,0.122741609661328,37.84205830905477,-1.8365974389533553
7,1,64,selu,0.001,adam,64,0.12117704439518073,0.12758774791074612,38.109127823563185,-2.0650108828186045
7,2,32,selu,0.001,rmsprop,128,0.11467647877819986,0.1222759163913218,38.42347859033959,-1.8151136345458578
7,2,64,elu,0.001,rmsprop,64,0.11163253694868432,0.12195572689117426,39.04463597304652,-1.800389726539804
7,2,32,selu,0.0005,adam,128,0.1255057414079991,0.13216533635547256,39.04861046723093,-2.288888942755019
7,1,32,selu,0.0005,adam,64,0.1111703813426015,0.1399397107190825,39.089498355059945,-2.6871942786607192
7,2,32,selu,0.0005,adam,32,0.1292195690206065,0.1401856958526417,39.74237133440255,-2.7001683248043293
7,1,64,relu,0.001,adam,64,0.13468656061879794,0.1443775895380352,40.164948011124466,-2.924764938226426
7,1,64,selu,0.001,rmsprop,64,0.12054160471939349,0.1268472475730459,40.23971566003872,-2.0295363909572095
7,2,64,selu,0.01,adam,64,0.1329007998895887,0.14133471049222707,40.26733672628112,-2.7610728441835413
7,1,64,elu,0.001,rmsprop,128,0.12257277098782511,0.12540812177566857,40.631716649974074,-1.9611840717205773
7,2,32,elu,0.0005,rmsprop,32,0.11939774597564295,0.1262269677161703,40.690065144602045,-1.9999801189646296
7,1,64,relu,0.001,rmsprop,32,0.1362016097498182,0.1447034364000417,40.97752418037319,-2.9425005922376357
7,1,64,relu,0.0005,rmsprop,128,0.13343265647569255,0.13743629854106612,41.22828653791331,-2.556452215617037
7,2,64,selu,0.001,rmsprop,128,0.125596609855137,0.12775698776802974,41.43442654761892,-2.073147495377349
7,2,64,elu,0.0005,rmsprop,128,0.1231286174716362,0.12758709819763214,41.6433848223946,-2.064979667083123
7,2,32,selu,0.0005,rmsprop,64,0.1317742435967646,0.13623195889822295,42.20076666487654,-2.494395685759908
7,2,64,selu,0.001,adam,64,0.1378546218648406,0.14461185362408113,42.261136031174615,-2.9375117557813213
7,1,64,elu,0.001,rmsprop,32,0.1302000022591957,0.13437537895659127,43.32734803054865,-2.399800877657725
7,2,32,relu,0.0005,rmsprop,128,0.13217687232434575,0.13490520462056624,43.456420489641616,-2.426663728985483
7,2,64,elu,0.0005,rmsprop,32,0.12793446819515158,0.13702752839632037,43.77454469896334,-2.5353281085040056
