d,unixTs,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2020-04-09,1586390400,256408.49248000,421242.52336000,1593395.63184000,1556765.84720000,1208782.89312000,2527455.14016000,2857123.20192000,2838808.30960000,641021.23120000,421242.52336000,1153838.21616000,1483506.27792000,1336987.13936000
2020-04-10,1586476800,348021.66658000,494557.10514000,1520305.17506000,1501988.24524000,1208917.36812000,2527736.31516000,2857441.05192000,2839124.12210000,641092.54370000,421289.38586000,1153966.57866000,1483671.31542000,1337135.87686000
2020-04-11,1586563200,109913.50392000,714437.77548000,1410556.63364000,1612064.72416000,1209048.54312000,2528010.59016000,2857751.10192000,2839432.18460000,641162.10620000,421335.09836000,1154091.79116000,1483832.30292000,1337280.96436000
2020-04-12,1586649600,91604.14910000,714512.36298000,1319099.74704000,1703837.17326000,1209174.76812000,2546595.34498000,2839728.62210000,2858049.45192000,641229.04370000,421379.08586000,1135891.44884000,1483987.21542000,1337420.57686000
2020-04-13,1586736000,348136.37908000,476397.15032000,1282607.71240000,1740681.89540000,1209315.84312000,2546892.45748000,2840059.93460000,2858382.90192000,641303.85620000,421428.24836000,1136023.97384000,1484160.35292000,1337576.61436000
2020-04-14,1586822400,164925.60588000,623052.28888000,1301079.77972000,1740881.39540000,1227779.51044000,2547184.35748000,2840385.43460000,2858710.50192000,641377.35620000,421476.54836000,1136154.17384000,1484330.45292000,1337729.91436000
2020-04-15,1586908800,183271.79820000,568142.57442000,1282902.58740000,1777736.44254000,1227921.04794000,2547477.99498000,2840712.87210000,2859040.05192000,641451.29370000,421525.13586000,1136285.14884000,1484501.56542000,1337884.12686000
2020-04-16,1586995200,256607.46748000,458227.62050000,1283037.33740000,1814581.37718000,1228050.02294000,2547745.56998000,2841011.24710000,2859340.35192000,641518.66870000,439898.51568000,1136404.49884000,1484657.49042000,1356353.75668000
2020-04-17,1587081600,219968.30784000,494928.69264000,1264817.77008000,1833069.23200000,1246487.07776000,2529635.54016000,2822926.61728000,2877918.69424000,641574.23120000,439936.61568000,1118172.23152000,1484786.07792000,1356471.23168000
2020-04-18,1587168000,128328.67124000,586645.35424000,1209956.04312000,1888264.73396000,1228288.71044000,2548240.75748000,2823230.76728000,2878228.76924000,641643.35620000,439984.01568000,1118292.70652000,1484946.05292000,1356617.38168000
2020-04-19,1587254400,128341.97124000,586706.15424000,1081739.47188000,2016802.40520000,1228416.01044000,2548504.85748000,2805188.79996000,2878527.06924000,660044.42352000,440029.61568000,1118408.60652000,1485099.95292000,1356757.98168000
2020-04-20,1587340800,183365.79820000,385068.17622000,1210214.26812000,2035360.36002000,1228550.84794000,2548784.59498000,2805496.71246000,2878843.03174000,660116.87352000,440077.91568000,1118531.36902000,1485262.96542000,1356906.90668000
2020-04-21,1587427200,183384.42320000,403445.73104000,1191998.75080000,2017228.65520000,1210337.19312000,2567381.92480000,2805781.67496000,2879135.44424000,660183.92352000,366768.84640000,1191998.75080000,1467075.38560000,1375383.17400000
2020-04-22,1587513600,220080.95784000,366801.59640000,1155425.02866000,2054088.93984000,1210445.26812000,2567611.17480000,2806032.21246000,2879392.53174000,660242.87352000,366801.59640000,1192105.18830000,1467206.38560000,1375505.98650000
2020-04-23,1587600000,238444.11266000,348495.24158000,1118853.14402000,2090971.44948000,1210562.41812000,2512834.11034000,2842987.49710000,2879671.20674000,660306.77352000,366837.09640000,1155536.85366000,1504032.09524000,1375639.11150000
2020-04-24,1587686400,293498.47712000,385216.75122000,1045588.32474000,2091176.64948000,1210681.21812000,2513080.71034000,2843266.49710000,2879953.80674000,660371.57352000,366873.09640000,1155650.25366000,1522523.35006000,1375774.11150000
2020-04-25,1587772800,128417.48374000,568705.99942000,1008994.51510000,2109715.80430000,1192448.06330000,2531658.96516000,2843529.99710000,2880220.70674000,660432.77352000,366907.09640000,1155757.35366000,1504319.09524000,1375901.61150000
2020-04-26,1587859200,110082.40392000,568759.08692000,990741.63528000,2146606.87644000,1174212.30848000,2550242.35748000,2843795.43460000,2880489.56924000,660494.42352000,366941.34640000,1137518.17384000,1522806.58756000,1376030.04900000
2020-04-27,1587945600,330278.93676000,477069.57532000,862395.00154000,2128464.25912000,1174325.10848000,2550487.34498000,2844068.62210000,2880766.28174000,678906.70334000,366976.59640000,1119278.61902000,1522952.87506000,1394511.06632000
2020-04-28,1588032000,183507.54820000,623925.66388000,899186.98618000,2110336.80430000,1211149.81812000,2532404.16516000,2844366.99710000,2881068.50674000,678977.92834000,367015.09640000,1119396.04402000,1523112.65006000,1394657.36632000
2020-04-29,1588118400,587282.15424000,385403.91372000,880923.23136000,1945372.13592000,1192916.87580000,2551006.85748000,2826295.36728000,2881353.06924000,679044.99084000,367051.34640000,1119506.60652000,1523263.08756000,1394795.11632000
2020-04-30,1588204800,403793.60604000,660753.17352000,825941.46690000,1927196.75610000,1193026.56330000,2496178.65552000,2881618.00674000,2881618.00674000,679107.42834000,367085.09640000,1119609.54402000,1523403.15006000,1394923.36632000
