d,unixTs,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gateIo,kucoin,kraken,cryptoCom,dydx,deltaExchange,openInterestFutures
2020-12-03,1606953600,1051047625.8447,708823848.6411,1251105288.2162,,476162246.8602,668619240.4774,698909177.5432,179462279.7179,,,85374538.0830,,,,
2020-12-04,1607040000,1114132369.7082,787004210.0888,1275585692.0425,,478363561.1471,683889445.3318,704872560.4509,181714018.3642,,,88523981.3009,,,,
2020-12-05,1607126400,1082162443.2214,744074749.9478,1234451462.2320,,487378546.6939,683399011.6914,689168244.7071,174460738.6355,,,85200860.0142,,,,
2020-12-06,1607212800,1101586494.6609,745083972.3952,1253311820.5917,,481817383.1569,701638685.6995,681145434.5258,179174480.4458,,,80646962.2103,,,,
2020-12-07,1607299200,1159590307.8594,735244218.5222,1294574028.2062,,480722116.0545,699663523.1617,695699221.8036,181343632.5566,,,79985866.8934,,,,
2020-12-08,1607385600,1140826930.8777,778296117.8799,1294051576.6266,,481819978.3663,695320218.7404,686435910.6718,179061826.9349,,,84662050.2352,,,,
2020-12-09,1607472000,1127638427.1918,822821780.4666,1268207989.5834,,467570901.9363,726395055.4838,721485277.5753,171096745.2456,,,83138972.6740,,,,
2020-12-10,1607558400,1082379484.2080,799050656.8846,1247292609.3867,,460044385.8762,742558591.9589,758169970.8013,173971460.1717,,,82402248.0639,,,,
2020-12-11,1607644800,1069433684.4972,784524309.0355,1247121276.7642,,469323609.7626,730830656.0839,761564450.2913,171092266.6364,,,83928983.2073,,,,
2020-12-12,1607731200,1073582422.7844,793274606.2867,1235080574.9938,,436778017.5706,740559577.7798,772780775.6311,169703662.9193,,,76066890.4474,,,,
2020-12-13,1607817600,1120844840.3600,789109878.4612,1247631520.4459,,434848053.2347,735514994.7836,786804994.3666,176599141.3282,,,75203343.1208,,,,
2020-12-14,1607904000,1125379455.4107,788379844.5167,1362069258.8366,,466517679.4420,740967949.5401,891371806.9072,179095100.8054,,,93402324.4834,,,,
2020-12-15,1607990400,1148880217.9121,782510158.8501,1399482149.8699,,476268901.4897,732183758.3567,930352499.7526,180494185.1363,,,92422179.0785,,,,
2020-12-16,1608076800,1208463429.9006,843727403.9751,1393420219.0397,,478190138.3245,729089322.9894,923438814.7756,182064501.8836,,,95361181.1353,,,,
2020-12-17,1608163200,1322301544.8016,832654353.9097,1516826484.3417,,509684656.0961,801604562.5764,958147433.9213,200854791.1261,,,98159299.7112,,,,
2020-12-18,1608249600,1258835909.7844,925838516.6200,1452533284.2090,,530969377.3652,705327135.4611,942464275.4698,215743600.7700,,,113471741.5609,,,,
2020-12-19,1608336000,1320089465.1010,961658937.1168,1531015146.8916,,555395160.0281,705903250.2447,991341939.3443,218274686.9441,,,112183911.7403,,,,
2020-12-20,1608422400,1428753474.9506,1046736486.8730,1601218117.3069,,569621542.8443,738588616.9722,1019484420.0502,224733239.1543,,,123952674.8386,,,,
2020-12-21,1608508800,1394296664.1198,1035653164.9014,1557128189.2652,,559183005.7203,734529829.2874,976431170.8647,221170434.0062,,,124938620.8009,,,,
2020-12-22,1608595200,1272924119.8901,939965205.2383,1516615448.7134,,586646783.2751,692016836.6256,961292507.5829,214784928.9119,,,116082453.3889,,,,
2020-12-23,1608681600,1370320492.0078,940524965.5369,1563460049.5632,,591294946.8325,724330587.8542,1016391176.7773,226349027.8814,,,113193633.6475,,,,
2020-12-24,1608768000,1197420583.0147,916324521.8535,1535363336.7808,,585597566.7321,738435113.6955,909965696.5388,222499462.4129,,,113646663.4777,,,,
2020-12-25,1608854400,1283795621.2518,901632453.7430,1542467673.4368,,587170241.3701,749547984.7490,965278434.1073,227693909.9618,,,109624214.0745,,,,
2020-12-26,1608940800,1372830642.2269,1033247472.7671,1462311886.6164,,465249257.7573,767926064.0783,956167430.3342,239463977.2787,,,122768700.8714,,,,
2020-12-27,1609027200,1463851438.5423,1168767871.2598,1553371597.8542,,493875523.3093,737970719.3213,990511867.5109,266648949.2732,,,126341180.7568,,,,
2020-12-28,1609113600,1377374902.5807,1239137740.6709,1530489569.4673,,543184814.0836,742657106.0559,1052896023.5542,271014407.9154,,,126292281.0805,,,,
2020-12-29,1609200000,1443582192.5822,1193099501.4001,1596427793.6461,,547606621.1055,743255419.0232,1051986400.6592,276439091.9118,,,141207992.7352,,,,
2020-12-30,1609286400,1456125286.8987,1056123440.2231,1574584293.6787,,530863676.2835,750940173.0172,1026933163.3990,279579938.8871,,,149866093.5854,,,,
2020-12-31,1609372800,1597883829.9401,1107449572.7405,1573826494.8134,,558296718.3123,805304863.0820,1075009252.6519,304615536.0024,,,160313371.5197,,,,
2021-01-01,1609459200,1592604159.4441,1082395017.7371,1620651291.8893,,551566789.4454,818833487.9915,980901656.8458,306487489.2171,,,152960737.6324,,,,
2021-01-02,1609545600,1582638622.0704,1096241100.0452,1684525061.0933,,555239668.3134,855987069.1822,983618030.2364,313698978.5855,,,144557140.1667,,,,
2021-01-03,1609632000,1721712064.1693,1131223218.7368,1783142353.9299,,613605096.9910,887407024.6069,1051095393.4571,355723911.2653,,,180567559.9319,,,,
