d,unixTs,rhodlRatio
2022-01-25,1643068800,1325.6689347983164948
2022-01-26,1643155200,1318.2624094059106892
2022-01-27,1643241600,1294.5575787075011180
2022-01-28,1643328000,1297.3256382814488996
2022-01-29,1643414400,1311.8085260807083211
2022-01-30,1643500800,1316.0246420174305450
2022-01-31,1643587200,1322.6928013357707474
2022-02-01,1643673600,1337.3016129971500305
2022-02-02,1643760000,1319.9673167532952180
2022-02-03,1643846400,1305.6469347078888041
2022-02-04,1643932800,1357.9951559719927452
2022-02-05,1644019200,1383.8544132070839366
2022-02-06,1644105600,1393.3926776994538851
2022-02-07,1644192000,1431.3340897653984768
2022-02-08,1644278400,1462.0551025764215960
2022-02-09,1644364800,1467.4905868672856541
2022-02-10,1644451200,1468.3758396277754912
2022-02-11,1644537600,1445.7409349296969133
2022-02-12,1644624000,1410.3744988570837670
2022-02-13,1644710400,1399.3221840439050442
2022-02-14,1644796800,1400.5767118940340091
2022-02-15,1644883200,1420.3807796220974914
2022-02-16,1644969600,1421.4261373165613579
2022-02-17,1645056000,1380.0181454066686621
2022-02-18,1645142400,1332.8706871623148185
2022-02-19,1645228800,1312.0698724472727347
2022-02-20,1645315200,1264.1145666222410018
2022-02-21,1645401600,1245.0471639510542417
2022-02-22,1645488000,1216.3583778626379924
2022-02-23,1645574400,1187.6142979042829001
2022-02-24,1645660800,1138.7061109656702111
2022-02-25,1645747200,1149.5125134940599829
2022-02-26,1645833600,1159.6211830364012011
2022-02-27,1645920000,1152.4313448288938930
2022-02-28,1646006400,1193.0759638854638364
2022-03-01,1646092800,1247.8503632451159215
2022-03-02,1646179200,1256.8367483466374391
2022-03-03,1646265600,1251.8507692658614381
2022-03-04,1646352000,1220.5991111044843376
2022-03-05,1646438400,1194.9899613801934769
2022-03-06,1646524800,1184.3874798857083591
2022-03-07,1646611200,1188.4402947021195234
2022-03-08,1646697600,1169.1698879027442108
2022-03-09,1646784000,1203.2982226708690788
2022-03-10,1646870400,1165.6434353169643786
2022-03-11,1646956800,1134.3816789174981296
2022-03-12,1647043200,1124.0497084202363696
2022-03-13,1647129600,1106.0808112564858882
2022-03-14,1647216000,1112.1418428759906155
2022-03-15,1647302400,1109.9967121729882242
2022-03-16,1647388800,1107.0757844052836249
2022-03-17,1647475200,1111.6149652786956489
2022-03-18,1647561600,1127.2458151299807142
2022-03-19,1647648000,1137.3047950079973344
2022-03-20,1647734400,1132.9786666542214165
2022-03-21,1647820800,1124.0913811046413200
2022-03-22,1647907200,1146.5098084955397048
2022-03-23,1647993600,1147.4061707050917752
2022-03-24,1648080000,1168.3687173446582375
2022-03-25,1648166400,1179.2324095410843238
2022-03-26,1648252800,1191.0072600591603928
2022-03-27,1648339200,1200.1810750111711052
2022-03-28,1648425600,1231.7452346884527897
2022-03-29,1648512000,1255.8689395488689757
2022-03-30,1648598400,1255.4979891510723713
2022-03-31,1648684800,1242.8799779853481551
2022-04-01,1648771200,1244.6589090955935484
2022-04-02,1648857600,1247.7312265728276309
2022-04-03,1648944000,1245.6806695796242241
2022-04-04,1649030400,1239.9641812994902165
2022-04-05,1649116800,1237.1354548364575832
2022-04-06,1649203200,1199.2333517381940539
2022-04-07,1649289600,1185.1446030179568430
2022-04-08,1649376000,1172.0465186801524424
2022-04-09,1649462400,1155.6344501825079242
2022-04-10,1649548800,1149.8171260008703439
2022-04-11,1649635200,1110.8014088649203709
2022-04-12,1649721600,1087.9278664927050678
2022-04-13,1649808000,1084.0430469497633315
2022-04-14,1649894400,1062.3366280238551057
2022-04-15,1649980800,1054.2583006789347288
2022-04-16,1650067200,1051.2209918544450926
2022-04-17,1650153600,1045.4139756841128223
2022-04-18,1650240000,1045.9111106122459846
2022-04-19,1650326400,1054.7693379764471389
2022-04-20,1650412800,1056.3422071669729550
2022-04-21,1650499200,1058.2120562793886335
2022-04-22,1650585600,1042.9978862963254577
2022-04-23,1650672000,1036.0769094591325538
2022-04-24,1650758400,1031.0552850391339124
2022-04-25,1650844800,1033.2340421793950977
2022-04-26,1650931200,1013.4361715088828330
2022-04-27,1651017600,1006.8132326872388239
2022-04-28,1651104000,1004.6077101116919885
2022-04-29,1651190400,988.9992136046500614
2022-04-30,1651276800,976.7215987884163522
2022-05-01,1651363200,970.5148033483581817
2022-05-02,1651449600,957.7388155411993826
2022-05-03,1651536000,948.2149747159117787
2022-05-04,1651622400,958.6925348478874207
2022-05-05,1651708800,930.0284120945252330
2022-05-06,1651795200,912.2492289846823337
2022-05-07,1651881600,895.6999702985681023
2022-05-08,1651968000,876.3369338545398288
2022-05-09,1652054400,835.8233729481486556
2022-05-10,1652140800,804.9811086283628118
2022-05-11,1652227200,763.3028124542528579
2022-05-12,1652313600,728.2803013274287839
2022-05-13,1652400000,727.3220655337843530
2022-05-14,1652486400,721.0305072208419554
2022-05-15,1652572800,727.2314942392278922
2022-05-16,1652659200,717.2105215583566170
2022-05-17,1652745600,718.4721262519696455
2022-05-18,1652832000,705.8676787441803516
2022-05-19,1652918400,718.4113306563445926
2022-05-20,1653004800,712.5639866187313017
2022-05-21,1653091200,711.9860262228422937
2022-05-22,1653177600,717.9882408107093351
2022-05-23,1653264000,715.6327461313981950
2022-05-24,1653350400,711.2081461031980199
2022-05-25,1653436800,713.7360574325071432
2022-05-26,1653523200,710.0117536801234419
2022-05-27,1653609600,699.2837709011343288
2022-05-28,1653696000,696.1037195222671411
2022-05-29,1653782400,698.4502950323621059
2022-05-30,1653868800,715.9898684405382463
2022-05-31,1653955200,733.2250046621371252
2022-06-01,1654041600,722.8985880035665228
2022-06-02,1654128000,725.1589004252717694
2022-06-03,1654214400,723.7101306036861249
2022-06-04,1654300800,720.6506978366052377
2022-06-05,1654387200,721.9881162883718078
2022-06-06,1654473600,739.0213342436062266
2022-06-07,1654560000,730.5024872072647737
2022-06-08,1654646400,726.2009638754586463
2022-06-09,1654732800,724.1589823198662801
2022-06-10,1654819200,712.3775313700085756
2022-06-11,1654905600,690.3486058354923419
2022-06-12,1654992000,680.5574374558093000
2022-06-13,1655078400,623.1397109256903945
2022-06-14,1655164800,565.6751613384802175
2022-06-15,1655251200,540.5843416068604917
2022-06-16,1655337600,515.2736287354415788
2022-06-17,1655424000,502.0614804129655501
2022-06-18,1655510400,477.2943696090600187
2022-06-19,1655596800,474.0910931750744119
2022-06-20,1655683200,471.8487731512157342
2022-06-21,1655769600,473.4852002574801284
2022-06-22,1655856000,463.5554283699918295
2022-06-23,1655942400,468.2595391449939972
2022-06-24,1656028800,472.4796586281076143
2022-06-25,1656115200,480.4599519178325235
2022-06-26,1656201600,465.4781718614925976
2022-06-27,1656288000,462.4482368995100578
2022-06-28,1656374400,458.0050277301899929
2022-06-29,1656460800,453.3523403193759486
2022-06-30,1656547200,440.9861147374477529
2022-07-01,1656633600,436.4731982931020641
2022-07-02,1656720000,430.4088434818399958
2022-07-03,1656806400,427.3525776830509226
2022-07-04,1656892800,429.4472290045543120
2022-07-05,1656979200,430.9617696035787920
2022-07-06,1657065600,431.5881664328393039
2022-07-07,1657152000,440.5493275882854163
2022-07-08,1657238400,443.7050072316769153
2022-07-09,1657324800,446.3694822044264949
2022-07-10,1657411200,440.2801705877435711
2022-07-11,1657497600,434.1186076083305492
2022-07-12,1657584000,427.0928964265374537
2022-07-13,1657670400,423.3721938667962573
2022-07-14,1657756800,425.3255396441820723
2022-07-15,1657843200,427.4768543575805795
2022-07-16,1657929600,430.0321308332074764
2022-07-17,1658016000,429.7107907890373601
2022-07-18,1658102400,437.7243857916613442
2022-07-19,1658188800,451.1302502898087672
2022-07-20,1658275200,464.8154922654791474
2022-07-21,1658361600,466.7933527962964181
2022-07-22,1658448000,472.1644759331944444
2022-07-23,1658534400,468.4681343845895116
2022-07-24,1658620800,471.0173604363356496
2022-07-25,1658707200,464.0809999910047063
2022-07-26,1658793600,455.1768288927230604
2022-07-27,1658880000,462.3703192600657935
2022-07-28,1658966400,475.7713004273921345
2022-07-29,1659052800,481.8191525527945237
2022-07-30,1659139200,486.1324707706225699
2022-07-31,1659225600,483.9936348278338330
2022-08-01,1659312000,483.4978168442072715
2022-08-02,1659398400,483.7728014982881718
2022-08-03,1659484800,485.6652503206145844
2022-08-04,1659571200,479.5907235734712925
2022-08-05,1659657600,481.6573370437617820
2022-08-06,1659744000,480.9998810935863648
2022-08-07,1659830400,480.1952550390213453
2022-08-08,1659916800,483.6847894391612926
2022-08-09,1660003200,477.0163173345314288
2022-08-10,1660089600,479.9211952552134688
2022-08-11,1660176000,483.5217481341301528
2022-08-12,1660262400,486.0245365795239101
2022-08-13,1660348800,490.9299582702874351
2022-08-14,1660435200,491.5970959351568399
2022-08-15,1660521600,489.6760299840867616
2022-08-16,1660608000,488.0190442541396469
2022-08-17,1660694400,481.2401833938835594
2022-08-18,1660780800,477.1496453672721059
2022-08-19,1660867200,453.5350436524515090
2022-08-20,1660953600,441.2548564667713045
2022-08-21,1661040000,441.6453787594291027
2022-08-22,1661126400,433.5162514044656178
2022-08-23,1661212800,429.4469324553715257
2022-08-24,1661299200,425.3999174932996661
2022-08-25,1661385600,423.2586720489955273
2022-08-26,1661472000,415.0841445630724529
2022-08-27,1661558400,407.0621474651029197
2022-08-28,1661644800,402.8116613141689563
2022-08-29,1661731200,403.7728932216885079
2022-08-30,1661817600,399.5333078269477292
2022-08-31,1661904000,398.7542616521470931
2022-09-01,1661990400,393.6597548944550013
2022-09-02,1662076800,392.4570876512031592
2022-09-03,1662163200,390.4250975928268608
2022-09-04,1662249600,389.7811597370569557
2022-09-05,1662336000,389.1900140101171165
2022-09-06,1662422400,383.8350664619285893
2022-09-07,1662508800,378.5966836992369783
2022-09-08,1662595200,377.3677901127794897
2022-09-09,1662681600,394.3138669132203765
2022-09-10,1662768000,402.5584432664002308
2022-09-11,1662854400,404.9775321333042538
2022-09-12,1662940800,410.9827533442802612
