theDay,unixTs,capRealUSD
2020-08-24,1598227200,114067965700.855
2021-09-05,1630800000,392286882007.1513
2021-09-28,1632787200,397705923983.3557
2023-02-21,1676937600,383908422848.6306
2024-02-27,1708992000,468214001851.72455
2024-03-19,1710806400,528179469233.7283
2024-04-06,1712361600,556951938425.3873
2020-10-05,1601856000,116035132679.5856
2021-06-07,1623024000,368831517949.2717
2021-08-23,1629676800,385150537594.2543
2021-09-15,1631664000,395139772789.7363
2021-09-18,1631923200,396075176282.6403
2024-04-13,1712966400,560494437065.3447
2024-06-02,1717286400,593119677611.289
2020-05-12,1589241600,104264169720.1261
2020-01-01,1577836800,101010417318.8791
2020-06-20,1592611200,106770626613.9934
2021-07-07,1625616000,362772573963.8868
2021-10-19,1634601600,422453317003.5555
2021-10-21,1634774400,426528263405.0251
2021-10-25,1635120000,430281980168.957
2024-03-30,1711756800,548956077065.8762
2024-04-10,1712707200,559853311683.1927
2024-04-14,1713052800,560876098654.375
2024-04-28,1714262400,568154716769.019
2024-05-11,1715385600,570559364047.7716
2021-07-18,1626566400,362870172343.784
2020-01-07,1578355200,101219471965.8662
2021-08-15,1628985600,380550842159.6535
2021-11-10,1636502400,449058378754.6159
2021-11-23,1637625600,459462821175.2799
2021-12-19,1639872000,461989132486.7511
2022-01-08,1641600000,460689620505.6441
2024-06-20,1718841600,602710439817.2039
2024-07-01,1719792000,606457918163.1516
2024-08-03,1722643200,619947817015.5377
2021-08-01,1627776000,373899520426.8335
2020-01-24,1579824000,102435658939.0174
2021-11-08,1636329600,446411909311.8275
2021-11-13,1636761600,456712905708.0478
2024-05-20,1716163200,577089801432.6652
2024-07-11,1720656000,607580840321.9133
2024-07-31,1722384000,619672597649.3331
2024-08-07,1722988800,617868797890.5789
2024-08-08,1723075200,618990857572.839
2020-04-02,1585785600,101127899290.5263
2020-02-06,1580947200,103938575358.8999
2022-01-21,1642723200,456186482545.2574
2024-08-02,1722556800,619883236196.2312
2024-09-07,1725667200,621498985198.2924
